MES_FEMINICIDIO,CEM,VICTIMA_EDAD,VICTIMA_NRO_HIJOS,VICTIMA_EMBARAZO,DPTO_OCURRIO,PROV_OCURRIO,DIST_OCURRIO,ZONA_OCURRIO,AGRESOR_EDAD,ALCOHOL_DROGAS,VINCULO,AGRESOR_TRABAJA,ACUCHILLAMIENTO,GOLPES_DIVERSOS,DISPARO_BALA,ENVENENAMIENTO,DESBARRANCAMIENTO,ASFIXIA_ESTRAGULAMIENTO,ATROPELLAMIENTO,QUEMADURA,OTRO,LUGAR_DEL_FEMINICIDIO,MEDIDAS_TOMO_PROTECCION,SITUACION_DEL_AGRESOR
1,COMISARIA CIUDAD NUEVA,50,0,0,TACNA,TACNA,CIUDAD NUEVA,1,54,1,ESPOSO,1, ,1, , , , , , , ,9,2,1
1,CHILCA,22,0,0,JUNIN,HUANCAYO,CHILCA,1,29, ,EX ENAMORADO,1,1, , , , , , , , ,2,1,2
1,COMISARIA SANTA BARBARA,29,3,0,PUNO,SAN ROMAN,CARACOTO,1,24,1,AMIGO,0, , , , , ,1, , , ,9,1,1
1,COMISARIA CARMEN ALTO,21,3,0,AYACUCHO,HUAMANGA,CARMEN ALTO,1,31,0,EX CONVIVIENTE,1, , , , , ,1, , , ,1,2,2
1,CALLAO,38,3,1,CALLAO,CALLAO,CALLAO,1,43,0,ESPOSO,1, , ,1, , , , , , ,7,6,1
1,HUARAL,26,3,0,LIMA,HUARAL,HUARAL,2,33,0,PAREJA SEXUAL,1, , , ,1, ,1, , , ,6,1,1
1,CARABAYA,32,0,0,PUNO,CARABAYA,AJOYANI,2,35,0,PAREJA SEXUAL,1,1,1, , , ,1, , , ,6,1,2
1,HUANCABAMBA,31,2,0,PIURA,HUANCABAMBA,HUARMACA,2,40,1,CONVIVIENTE,1, , ,1, , , , , , ,1,1,1
1,COMISARIA CERRO COLORADO,36,1,0,AREQUIPA,AREQUIPA,CERRO COLORADO,1,36, ,CONVIVIENTE,1, , , , , ,1, , , ,9,2,2
1,BONGARA,23,2,0,AMAZONAS,BONGARA,JAZAN,2,30,0,EX ESPOSO,1,1,1, , , , , , , ,6,1,1
1,COMISARIA JUAN INGUNZA VALDIVIA,18,0,0,CALLAO,CALLAO,CALLAO,1,36,1,VECINO,1,1, , , , , , , , ,1,1,1
1,SATIPO,30,3,0,JUNIN,SATIPO,RIO TAMBO,2,31,0,CONVIVIENTE,1, , ,1, , , , , , ,3,1,1
1,HUANCAVELICA,82,0,0,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,2,72,1,VECINO,1, ,1, , , , , , , ,1,1,1
1,COMISARIA SECTORIAL AYABACA,31,2,0,PIURA,AYABACA,AYABACA,2,37, ,EX CONVIVIENTE,1, ,1, , , , , , , ,1,4,2
1,COMISARIA YUNGUYO,33,2,0,PUNO,YUNGUYO,YUNGUYO,2,35,0,ESPOSO,1, ,1, , , , , , , ,1,1,1
2,PICHANAQUI,26,1,0,JUNIN,CHANCHAMAYO,PICHANAQUI,1,29,0,EX CONVIVIENTE,1, , , , , ,1, , , ,9,1,2
2,COMISARIA DE FAMILIA CANTO REY,28,2,0,LIMA,LIMA,SAN JUAN DE LURIGANCHO,1,31, ,CONVIVIENTE,0, , , , , ,1, , , ,8,9,4
2,COMISARIA CHINCHA,22,3,0,ICA,CHINCHA,GROCIO PRADO,1, , ,DESCONOCIDO, ,1, , , , , , , ,1,9,1,6
2,LOS OLIVOS,56,1,0,LIMA,LIMA,LOS OLIVOS,1,57,0,ESPOSO,1, ,1, , , , , , , ,3,1,6
2,CHICLAYO,33,2,0,LAMBAYEQUE,CHICLAYO,CHICLAYO,1, ,1,OTRO,0,1,1, , , ,1, , , ,6,9,6
2,COMISARIA PUEBLO LIBRE,18,0,0,LIMA,CAÑETE,SAN ANTONIO,1,24, ,ENAMORADO, ,1, , , , , , , , ,8,1,6
2,COMISARIA CERRO COLORADO,30,3,0,AREQUIPA,AREQUIPA,CERRO COLORADO,1,38,0,CONVIVIENTE,1, , , , , ,1, , , ,2,2,1
2,COMISARIA BARRANCA,79,0,0,LIMA,BARRANCA,PARAMONGA,1,17,1,OTRO FAMILIAR,0, ,1, , , , , , ,1,4,1,1
2,COMISARIA CANTO REY,31,0,0,LIMA,LIMA,SAN JUAN DE LURIGANCHO,1,35,0,CONVIVIENTE,1, , , , , , ,1,1,1,9,1,1
2,COMISARIA PUNO,1,0,0,PUNO,PUNO,PICHACANI - LARAQUERI,2, , ,DESCONOCIDO, , , , , , , , , ,1,6,1,6
2,YAROWILCA,66,0,0,HUANUCO,YAROWILCA,APARICIO POMARES,1,25,1,VECINO,1, ,1, , , ,1, , , ,1,1,2
2,JAEN,34,1,1,CAJAMARCA,JAEN,BELLAVISTA,2,22,0,VECINO,1, , , , , ,1, , , ,5,1,1
2,COMAS,20,1,0,LIMA,LIMA,COMAS,1,25,0,EX ENAMORADO,1, , ,1, , , , , , ,4,1,6
2,OTUZCO,18,1,0,LA LIBERTAD,OTUZCO,USQUIL,2,25,0,CONVIVIENTE,1, ,1, , , , , , , ,1,1,5
3,DATEM DEL MARAÑON,25,4,0,LORETO,DATEM DEL MARAÑON,MANSERICHE,2,35, ,CONVIVIENTE,1, , , ,1, , , , , ,2,1,5
3,CHOTA,22,1,0,CAJAMARCA,CHOTA,QUEROCOTO,3,30,0,VECINO,1, , , , , , , , ,1,9,1,1
3,COMISARIA DE FAMILIA COLLIQUE,48,1,0,LIMA,LIMA,COMAS,1,47,0,ESPOSO,1, , ,1, , , , , , ,3,1,1
3,COMISARIA DE FAMILIA PIURA,59,0,0,PIURA,PIURA,PIURA,1,65,0,ESPOSO,0,1,1, , , , , , , ,1,1,1
3,CHOSICA,24,0,0,LIMA,LIMA,LURIGANCHO,1,28,1,EX CONVIVIENTE,0,1, , , , , , , , ,1,9,6
3,PICHANAQUI,26,2,0,JUNIN,CHANCHAMAYO,PERENE,1,29,0,CONVIVIENTE,1, , , , , , , , ,1,9,1,1
3,COMISARIA DE FAMILIA EL AGUSTINO,23,1,0,LIMA,LIMA,EL AGUSTINO,1,24,1,PAREJA SEXUAL,0, ,1, , , , , ,1,1,6,1,1
3,INDEPENDENCIA,34,2,0,LIMA,LIMA,INDEPENDENCIA,1,47,0,PROGENITOR DE SU HIJO, , , , , , ,1, , , ,2,4,1
3,MELGAR,27,2,0,PUNO,MELGAR,SANTA ROSA,2,23,0,VECINO,1, , , , , ,1, , ,1,6,1,1
3,PIURA,40,1,0,PIURA,PIURA,CASTILLA,1, , ,DESCONOCIDO, , , , , , , , , ,1,9,9,6
3,SAN MARTIN DE PORRES,18,0,0,LIMA,LIMA,SAN MARTIN DE PORRES,1,23,1,ENAMORADO,1, , ,1, , , , , , ,2,9,5
3,CONTRALMIRANTE VILLAR,20,3,0,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,1,30,0,CONVIVIENTE,1,1, , , , , , , , ,5,1,1
3,CUSCO,17,1,1,CUSCO,CUSCO,CUSCO,2,47,0,AMIGO,1, , , , , ,1, , , ,6,1,6
4,CALLAO,73,0,0,CALLAO,CALLAO,CALLAO,1,18, ,OTRO FAMILIAR,0,1, , , , , , , , ,1,1,1
4,COMISARIA SANTA ANITA,21,0,0,LIMA,LIMA,SANTA ANITA,2,26,0,EX ENAMORADO,0,1, , , , , , , , ,8,1,1
4,COMISARIA LAURA CALLER,20,0,0,LIMA,LIMA,LOS OLIVOS,1,30,0,EX CONVIVIENTE,0, , , , , ,1, , ,1,1,2,1
4,COMISARIA CANTO REY,39,0,1,LIMA,LIMA,SAN JUAN DE LURIGANCHO,1,54,0,HERMANO, , , , , , , , , , ,3,1,6
4,COMISARIA DE FAMILIA COLLIQUE,23,0,0,LIMA,LIMA,COMAS,1,36,0,AMIGO, , , , , , ,1, , , ,5,1,6
4,CALLAO,28,0,0,CALLAO,CALLAO,CALLAO,3, , ,DESCONOCIDO, , , , , , ,1, , , ,9,9,6
4,SAN JUAN DE MIRAFLORES,49,0,0,LIMA,LIMA,SAN JUAN DE MIRAFLORES,1, , ,PAREJA SEXUAL, ,1, , , , , , , , ,7,9,2
4,COMISARIA SANTA ANITA,30,2,0,LIMA,LIMA,SANTA ANITA,1,37,0,EX CONVIVIENTE,1,1, , , , , , , , ,8,2,1
4,SAN JUAN DE MIRAFLORES,28,4,0,LIMA,LIMA,SAN JUAN DE MIRAFLORES,1,38, ,EX CONVIVIENTE, ,1, , , , , , , , ,2,9,1
4,NASCA,27,1,0,ICA,NASCA,VISTA ALEGRE,1,27,0,EX ENAMORADO,0, , ,1, , , , , , ,1,6,2
4,LA MOLINA,25,1,0,LIMA,LIMA,ATE,1,45, ,AMIGO, , , , , , ,1, , , ,8,1,2
4,LAURICOCHA,37,2,0,HUANUCO,LAURICOCHA,JIVIA,2,40,1,CONVIVIENTE,1, , , , , , , , ,1,9,1,6
4,HUANUCO,21,0,0,HUANUCO,HUANUCO,PILCOMARCA,1,28,0,CONVIVIENTE,0,1, , , , , , , , ,1,1,1
5,COMISARIA SAN BORJA,32,0,0,LIMA,LIMA,SAN BORJA,1,33, ,PAREJA SEXUAL,1, , ,1, , , , , , ,8,1,4
5,SAN JUAN DE LURIGANCHO,35,3,1,LIMA,LIMA,SAN JUAN DE LURIGANCHO,1,42,0,OTRO FAMILIAR,1, , , , , , ,1, , ,1,1,1
5,COMISARIA TALAVERA,11,0,0,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,2,21, ,DESCONOCIDO,1,1,1, , , , , , , ,6,1,1
5,COMISARIA TALAVERA,10,0,0,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,2,21, ,DESCONOCIDO,1, ,1, , , ,1, , , ,6,1,1
5,SICUANI,27,0,0,CUSCO,CANCHIS,SICUANI,1,35,1,CONVIVIENTE,0, , , , , , , , ,1,4,1,5
5,HUARAZ,26,0,0,ANCASH,HUARAZ,INDEPENDENCIA,1,34, ,EX ENAMORADO,1,1, , , , , , , , ,1,1,1
5,COMISARIA EL MILAGRO,37,3,0,LA LIBERTAD,TRUJILLO,HUANCHACO,1,38,0,EX CONVIVIENTE,0, , , , , ,1, , , ,9,1,1
5,PICHARI,32,2,0,CUSCO,LA CONVENCION,VILCABAMBA,2,31,0,OTRO FAMILIAR,1, , , , , ,1, , , ,6,1,1
5,ECHARATI,52,1,0,CUSCO,LA CONVENCION,ECHARATI,2,22,0,VECINO,0,1, , , ,1, , , , ,6,1,1
5,TINGO MARIA,30,2,0,HUANUCO,LEONCIO PRADO,RUPA RUPA,1,30,0,CONVIVIENTE,1, , ,1, , , , , , ,8,1,4
5,COMISARIA FLORENCIA DE MORA,18,0,0,LA LIBERTAD,VIRU,VIRU,2,20,0,AMIGO,1, , , , , ,1, , , ,6,1,1
6,COMISARIA SANTA BARBARA,21,0,0,PUNO,SAN ROMAN,JULIACA,1,23,1,AMIGO, , , , , , , , , ,1,9,1,1
6,COMISARIA SAN MIGUEL,31,2,1,ICA,PISCO,SAN ANDRES,1,35, ,CONVIVIENTE,1, , , , , ,1, , ,1,5,9,1
6,COMISARIA CHORRILLOS,15,0,0,LIMA,LIMA,CHORRILLOS,1,18,1,CONVIVIENTE,0, , , , , , , , , ,2,1,1
6,CHOCOPE,32,3,0,LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,1,23,0,CONVIVIENTE,0, , ,1, , , , , , ,3,1,4
6,COMISARIA SANTA BARBARA,22,1,0,PUNO,SAN ROMAN,JULIACA,1,19, ,ENAMORADO, , , , , , , , , , ,5,1,2
6,COMISARIA SAN JERONIMO,24,2,0,CUSCO,CUSCO,SAN JERONIMO,1,46, ,ESPOSO,0,1, , , , , , , ,1,9,1,1
6,COMISARIA YUNGUYO,15,0,0,PUNO,YUNGUYO,YUNGUYO,1,26,1,OTRO,0, , , , , , , , ,1,5,1,1
6,COMISARIA SANTA ANITA,36,2,0,LIMA,LIMA,SANTA ANITA,1,52, ,EX ENAMORADO,1,1, , , , , , , , ,5,1,1
6,COMISARIA JUAN INGUNZA VALDIVIA,36,2,0,CALLAO,CALLAO,CALLAO,1,38,1,CONVIVIENTE,1, , , , , , , , ,1,3,2,5
6,TOCACHE,35,4,0,SAN MARTIN,TOCACHE,NUEVO PROGRESO,2,38,0,CONVIVIENTE,1, , , , , , , , , ,9,9,2
6,VICTOR FAJARDO,46,0,0,AYACUCHO,VICTOR FAJARDFO,ALCAMENCA,2,40,1,VECINO,1, , , , , ,1, , ,1,1,1,5
6,KIMBIRI,19,1,0,CUSCO,LA CONVENCION,KIMBIRI,1,27,1,CONVIVIENTE,1, ,1, , , , , , , ,5,9,1
6,MARIANO MELGAR,40,2,0,AREQUIPA,AREQUIPA,MARIANO MELGAR,1,43,1,ESPOSO,0,1, , , , , , , , ,1,9,5
6,COMISARIA SANTA BARBARA,16,0,0,PUNO,SAN ROMAN,JULIACA,3, , ,DESCONOCIDO, , , , , , ,1, , , ,9,1,2
